"";"survived";"name";"sex";"age";"class";"joined";"ticket";"price";"sibsp";"parch";"boat..body.";"job";"url";"dob";"date_death";"ticketFreq";"pricepp";"fsize";"title"
"35";1;"BOWEN, Miss Grace Scott ";"female";45;1;"Cherbourg";"17608";262.375;0;0;"4";"Servant";"/titanic-survivor/grace-scott-bowen.html";1867-03-09;1945-05-03;7;37.4821428571429;1;"Miss"
"36";1;"BOWERMAN, Miss Elsie Edith ";"female";22;1;"Southampton";"113505";55;0;1;"6";NA;"/titanic-survivor/elsie-edith-bowerman.html";1889-12-18;1973-10-18;2;27.5;2;"Miss"
"37";0;"BRADY, Mr John Bertram ";"male";41;1;"Southampton";"113054";30.5;0;0;NA;NA;"/titanic-victim/john-bertram-brady.html";1870-12-03;1912-04-15;1;30.5;1;"Mr"
"38";0;"BRANDEIS, Mr Emil ";"male";48;1;"Cherbourg";"17591";50.4958333333333;0;0;" [208]";NA;"/titanic-victim/emil-brandeis.html";1864-03-15;1912-04-15;1;50.4958333333333;1;"Mr"
"39";1;"BRERETON, Mr George Andrew ";"male";37;1;"Southampton";"111427";26.55;0;0;"9";NA;"/titanic-survivor/george-brereton.html";1874-11-12;1942-07-16;1;26.55;1;"Mr"
"40";0;"BREWE, Dr Arthur Jackson ";"male";45;1;"Cherbourg";"112379";39.6;0;0;NA;NA;"/titanic-victim/arthur-jackson-brewe.html";1866-06-30;1912-04-15;1;39.6;1;"Dr"
"41";1;"BROWN, Mrs Caroline Lane ";"female";59;1;"Southampton";"11769";51.4791666666667;2;0;"D ";NA;"/titanic-survivor/caroline-lane-brown.html";1852-07-08;1928-06-26;2;25.7395833333333;3;"Mrs"
"42";1;"BROWN, Mrs Margaret ";"female";44;1;"Cherbourg";"17610";27.7208333333333;0;0;"6";NA;"/titanic-survivor/molly-brown.html";1867-07-18;1932-10-26;1;27.7208333333333;1;"Mrs"
"43";1;"BUCKNELL, Mrs Emma Eliza ";"female";58;1;"Cherbourg";"11813";76.2916666666667;0;0;"8";NA;"/titanic-survivor/emma-bucknell.html";1853-07-29;1927-06-27;2;38.1458333333333;1;"Mrs"
"44";1;"BURNS, Miss Elizabeth Margaret ";"female";41;1;"Cherbourg";"16966";134.5;0;0;"3";"Servant";"/titanic-survivor/elizabeth-burns.html";1870-12-15;1921-05-29;5;26.9;1;"Miss"
"45";0;"BUTT, Major Archibald Willingham ";"male";46;1;"Southampton";"113050";26.55;0;0;NA;NA;"/titanic-victim/archibald-butt.html";1865-09-26;1912-04-15;1;26.55;1;"Major"
"46";0;"CAIRNS, Mr Alexander Milne ";"male";28;1;"Southampton";"113798";31;0;0;NA;"Servant";"/titanic-victim/alexander-cairns.html";1883-04-19;1912-04-15;2;15.5;1;"Mr"
"47";1;"CALDERHEAD, Mr Edward Pennington ";"male";42;1;"Southampton";"17476";26.2875;0;0;"5";NA;"/titanic-survivor/edward-pennington-calderhead.html";1869-06-04;1961-04-05;1;26.2875;1;"Mr"
"48";1;"CANDEE, Mrs Helen Churchill ";"female";52;1;"Cherbourg";"17606";27.4458333333333;0;0;"6";NA;"/titanic-survivor/helen-churchill-candee.html";1859-10-05;1949-08-23;1;27.4458333333333;1;"Mrs"
"49";1;"CARDEZA, Mr Thomas Drake Martinez ";"male";36;1;"Cherbourg";"17755";512.329166666667;0;1;"3";NA;"/titanic-survivor/thomas-cardeza.html";1875-05-10;1952-06-06;4;128.082291666667;2;"Mr"
"50";1;"CARDEZA, Mrs Charlotte Wardle ";"female";58;1;"Cherbourg";"17755";512.329166666667;0;1;"3";NA;"/titanic-survivor/charlotte-cardeza.html";1854-04-10;1939-08-01;4;128.082291666667;2;"Mrs"
"51";0;"CARLSSON, Mr Frans Olof ";"male";33;1;"Southampton";"695";5;0;0;NA;NA;"/titanic-victim/frans-olof-carlsson.html";1878-09-29;1912-04-15;1;5;1;"Mr"
"52";0;"CARRAU, Mr Francisco Mauro Severiano ";"male";27;1;"Southampton";"113059";47.1;0;0;NA;NA;"/titanic-victim/francisco-carrau.html";1884-11-08;1912-04-15;2;23.55;1;"Mr"
"53";0;"CARRAú-ESTEVES, Mr José Pedro ";"male";17;1;"Southampton";"113059";47.1;0;0;NA;NA;"/titanic-victim/jose-pedro-carrau.html";1894-08-30;1912-04-15;2;23.55;1;"Mr"
"54";1;"CARTER, Master William Thornton II ";"male";11;1;"Southampton";"113760";120;1;2;"4";NA;"/titanic-survivor/william-thornton-carter.html";1900-09-14;1985-01-28;4;30;4;"Master"
"55";1;"CARTER, Miss Lucile Polk ";"female";13;1;"Southampton";"113760";120;1;2;"4";NA;"/titanic-survivor/lucile-polk-carter.html";1898-10-20;1962-10-19;4;30;4;"Miss"
"56";1;"CARTER, Mr William Ernest ";"male";36;1;"Southampton";"113760";120;1;2;"C ";NA;"/titanic-survivor/william-carter.html";1875-06-19;1940-03-20;4;30;4;"Mr"
"57";1;"CARTER, Mrs Lucile ";"female";36;1;"Southampton";"113760";120;1;2;"4";NA;"/titanic-survivor/lucile-carter.html";1875-10-08;1934-10-26;4;30;4;"Mrs"
"58";0;"CASE, Mr Howard Brown ";"male";49;1;"Southampton";"19924";26;0;0;NA;NA;"/titanic-victim/howard-case.html";1863-06-30;1912-04-15;1;26;1;"Mr"
"59";1;"CASSEBEER, Mrs Eleanor Genevieve ";"female";36;1;"Cherbourg";"17770";27.7208333333333;0;0;"5";NA;"/titanic-survivor/eleanor-cassebeer.html";1875-11-29;NA;1;27.7208333333333;1;"Mrs"
"60";0;"CAVENDISH, Mr Tyrell William ";"male";36;1;"Southampton";"19877";78.85;1;0;" [172]";NA;"/titanic-victim/tyrell-william-cavendish.html";1875-10-12;1912-04-15;3;26.2833333333333;2;"Mr"
"61";1;"CAVENDISH, Mrs Julia Florence ";"female";25;1;"Southampton";"19877";78.85;1;0;"6";NA;"/titanic-survivor/julia-florence-cavendish.html";1886-11-03;1963-01-16;3;26.2833333333333;2;"Mrs"
"62";0;"CHAFFEE, Mr Herbert Fuller ";"male";46;1;"Southampton";"5734";61.175;1;0;NA;NA;"/titanic-victim/herbert-fuller-chaffee.html";1865-11-20;1912-04-15;2;30.5875;2;"Mr"
"63";1;"CHAFFEE, Mrs Carrie Constance ";"female";47;1;"Southampton";"5734";61.175;1;0;"4";NA;"/titanic-survivor/carrie-constance-chaffee.html";1864-08-28;1931-07-04;2;30.5875;2;"Mrs"
"64";1;"CHAMBERS, Mr Norman Campbell ";"male";27;1;"Southampton";"113806";53.1;1;0;"5";NA;"/titanic-survivor/norman-campbell-chambers.html";1884-04-27;1966-02-09;2;26.55;2;"Mr"
"65";1;"CHAMBERS, Mrs Bertha ";"female";32;1;"Southampton";"113806";53.1;1;0;"5";NA;"/titanic-survivor/bertha-chambers.html";1879-10-10;1959-10-18;2;26.55;2;"Mrs"
"66";1;"CHAUDANSON, Miss Victorine ";"female";36;1;"Cherbourg";"17608";262.375;0;0;"4";"Servant";"/titanic-survivor/victorine-chaudanson.html";1875-09-28;1962-08-13;7;37.4821428571429;1;"Miss"
"67";1;"CHERRY, Miss Gladys ";"female";30;1;"Southampton";"110152";86.5;0;0;"8";NA;"/titanic-survivor/gladys-cherry.html";1881-08-27;1965-05-04;3;28.8333333333333;1;"Miss"
"68";1;"CHEVRé, Mr Paul Romaine Marie Léonce ";"male";45;1;"Cherbourg";"17594";29.7;0;0;"7";NA;"/titanic-survivor/paul-chevre.html";1866-07-05;1914-02-20;1;29.7;1;"Mr"
"69";1;"CHIBNALL, Mrs Edith Martha Bowerman ";"female";48;1;"Southampton";"113505";55;0;1;"6";NA;"/titanic-survivor/edith-martha-chibnall.html";1864-02-27;1953-10-08;2;27.5;2;"Mrs"
"70";0;"CLARK, Mr Walter Miller ";"male";27;1;"Cherbourg";"13508";136.779166666667;1;0;NA;NA;"/titanic-victim/walter-miller-clark.html";1884-05-13;1912-04-15;2;68.3895833333333;2;"Mr"
"71";1;"CLARK, Mrs Virginia Estelle ";"female";26;1;"Cherbourg";"13508";136.779166666667;1;0;"4";NA;"/titanic-survivor/virginia-clark.html";1885-05-30;1958-12-21;2;68.3895833333333;2;"Mrs"
"72";1;"CLEAVER, Miss Alice Catherine ";"female";22;1;"Southampton";"113781";151.8;0;0;"11";"Servant";"/titanic-survivor/alice-cleaver.html";1889-07-05;1984-11-01;6;25.3;1;"Miss"
"73";0;"CLIFFORD, Mr George Quincy ";"male";40;1;"Southampton";"110465";52;0;0;NA;NA;"/titanic-victim/george-quincy-clifford.html";1871-11-20;1912-04-15;2;26;1;"Mr"
"74";0;"COLLEY, Mr Edward Pomeroy ";"male";37;1;"Southampton";"5727";25.5875;0;0;NA;NA;"/titanic-victim/edward-pomeroy-colley.html";1875-04-15;1912-04-15;1;25.5875;1;"Mr"
"75";1;"COMPTON, Miss Sara Rebecca ";"female";39;1;"Cherbourg";"17756";83.1583333333333;1;1;"14";NA;"/titanic-survivor/sara-rebecca-compton.html";1872-04-30;1952-06-16;3;27.7194444444444;3;"Miss"
"76";0;"COMPTON, Mr Alexander Taylor jr ";"male";37;1;"Cherbourg";"17756";83.1583333333333;1;1;NA;NA;"/titanic-victim/alexander-taylor-compton.html";1874-08-16;1912-04-15;3;27.7194444444444;3;"Mr"
"77";1;"COMPTON, Mrs Mary Eliza ";"female";64;1;"Cherbourg";"17756";83.1583333333333;0;2;"14";NA;"/titanic-survivor/mary-eliza-compton.html";1847-08-07;1930-12-04;3;27.7194444444444;3;"Mrs"
"78";1;"CORNELL, Mrs Malvina Helen ";"female";55;1;"Southampton";"11770";25.7416666666667;2;0;"2";NA;"/titanic-survivor/malvina-helen-cornell.html";1856-12-10;1941-07-12;1;25.7416666666667;3;"Mrs"
"79";0;"CRAFTON, Mr John Bertram ";"male";59;1;"Southampton";"113791";26.55;0;0;NA;NA;"/titanic-victim/john-bertram-crafton.html";1853-02-15;1912-04-15;1;26.55;1;"Mr"
"80";0;"CROSBY, Captain Edward Gifford ";"male";70;1;"Southampton";"5735";71;1;1;" [269]";NA;"/titanic-victim/edward-gifford-crosby.html";1842-02-18;1912-04-15;2;35.5;3;"Captain"
"81";1;"CROSBY, Miss Harriette Rebecca ";"female";39;1;"Southampton";"112901";26.55;0;2;"7";NA;"/titanic-survivor/harriette-rebecca-crosby.html";1872-10-08;1941-02-11;1;26.55;3;"Miss"
"82";1;"CROSBY, Mrs Catherine Elizabeth ";"female";64;1;"Southampton";"5735";71;1;1;"7";NA;"/titanic-survivor/catherine-elizabeth-crosby.html";1847-10-26;1920-07-29;2;35.5;3;"Mrs"
"83";0;"CUMINGS, Mr John Bradley ";"male";39;1;"Cherbourg";"17599";71.2833333333333;1;0;NA;NA;"/titanic-victim/john-bradley-cumings.html";1872-09-26;1912-04-15;2;35.6416666666667;2;"Mr"
"84";1;"CUMINGS, Mrs Florence Briggs ";"female";35;1;"Cherbourg";"17599";71.2833333333333;1;0;"4";NA;"/titanic-survivor/florence-briggs-cumings.html";1876-12-31;1949-09-02;2;35.6416666666667;2;"Mrs"
"85";1;"DALY, Mr Peter Dennis ";"male";51;1;"Southampton";"113055";26.55;0;0;NA;NA;"/titanic-survivor/peter-dennis-daly.html";1860-07-17;1932-12-24;1;26.55;1;"Mr"
"86";1;"DANIEL, Mr Robert Williams ";"male";27;1;"Southampton";"113804";30.5;0;0;"3";NA;"/titanic-survivor/robert-williams-daniel.html";1884-09-11;1940-12-20;1;30.5;1;"Mr"
"87";1;"DANIELS, Miss Sarah Rebecca ";"female";33;1;"Southampton";"113781";151.8;0;0;"8";"Servant";"/titanic-survivor/sarah-daniels.html";1875-11-10;NA;6;25.3;1;"Miss"
"88";0;"DAVIDSON, Mr Thornton ";"male";31;1;"Cherbourg";"12750";52;1;0;NA;NA;"/titanic-victim/thornton-davidson.html";1880-05-17;1912-04-15;2;26;2;"Mr"
"89";1;"DAVIDSON, Mrs Orian ";"female";27;1;"Cherbourg";"12750";52;1;2;"3";NA;"/titanic-survivor/orian-davidson.html";1884-11-18;1979-05-03;2;26;4;"Mrs"
"90";1;"DICK, Mr Albert Adrian ";"male";31;1;"Southampton";"17474";57;1;0;"3";NA;"/titanic-survivor/albert-adrian-dick.html";1880-07-29;1970-06-02;2;28.5;2;"Mr"
"91";1;"DICK, Mrs Vera ";"female";17;1;"Southampton";"17474";57;1;0;"3";NA;"/titanic-survivor/vera-dick.html";1894-06-12;1973-10-07;2;28.5;2;"Mrs"
"92";1;"DODGE, Dr Washington ";"male";52;1;"Southampton";"33638";81.8583333333333;1;1;"13";NA;"/titanic-survivor/washington-dodge.html";1859-06-03;1919-06-30;3;27.2861111111111;3;"Dr"
"93";1;"DODGE, Master Washington ";"male";4;1;"Southampton";"33638";81.8583333333333;0;2;"5";NA;"/titanic-survivor/washington-dodge-jr.html";1907-09-23;1974-12-03;3;27.2861111111111;3;"Master"
"94";1;"DODGE, Mrs Ruth ";"female";34;1;"Southampton";"33638";81.8583333333333;1;1;"5";NA;"/titanic-survivor/ruth-dodge.html";1878-03-27;1950-07-19;3;27.2861111111111;3;"Mrs"
"95";0;"DOUGLAS, Mr Walter Donald ";"male";50;1;"Cherbourg";"17761";106.425;1;0;" [62]";NA;"/titanic-victim/walter-donald-douglas.html";1861-04-21;1912-04-15;3;35.475;2;"Mr"
"96";1;"DOUGLAS, Mrs Mahala ";"female";48;1;"Cherbourg";"17761";106.425;1;0;"2";NA;"/titanic-survivor/mahala-douglas.html";1864-01-26;1945-04-21;3;35.475;2;"Mrs"
"97";1;"DOUGLAS, Mrs Mary Hélène ";"female";27;1;"Cherbourg";"17558";247.520833333333;1;1;"6";NA;"/titanic-survivor/mary-helene-douglas.html";1885-04-04;1954-12-31;3;82.5069444444444;3;"Mrs"
"98";1;"DUFF GORDON, Lady Lucy Christiana ";"female";48;1;"Cherbourg";"17485";56.9291666666667;1;0;"1";NA;"/titanic-survivor/lady-duff-gordon.html";1863-06-13;1935-04-20;2;28.4645833333333;2;"Lady"
"99";1;"DUFF GORDON, Sir Cosmo Edmund ";"male";49;1;"Cherbourg";"11755";39.6;1;0;"1";NA;"/titanic-survivor/sir-cosmo-duff-gordon.html";1862-07-22;1931-04-20;1;39.6;2;"Sir"
"100";0;"DULLES, Mr William Crothers ";"male";39;1;"Cherbourg";"17580";29.7;0;0;" [133]";NA;"/titanic-victim/william-crothers-dulles.html";1872-12-21;1912-04-15;1;29.7;1;"Mr"
"101";1;"EARNSHAW, Mrs Olive ";"female";23;1;"Cherbourg";"11767";83.1583333333333;0;1;"7";NA;"/titanic-survivor/olive-earnshaw.html";1888-09-09;1958-04-21;3;27.7194444444444;2;"Mrs"
"102";1;"ENDRES, Miss Caroline Louise ";"female";39;1;"Cherbourg";"17757";247.525;0;0;"4";"Servant";"/titanic-survivor/caroline-endres.html";1872-06-14;1964-01-11;5;49.505;1;"Miss"
"103";1;"EUSTIS, Miss Elizabeth Mussey ";"female";54;1;"Cherbourg";"36947";78.2666666666667;1;0;"4";NA;"/titanic-survivor/elizabeth-mussey-eustis.html";1858-03-01;1936-05-17;2;39.1333333333333;2;"Miss"
"104";0;"EVANS, Miss Edith Corse ";"female";36;1;"Cherbourg";"17531";31.6791666666667;0;0;NA;NA;"/titanic-victim/edith-corse-evans.html";1875-09-21;1912-04-15;1;31.6791666666667;1;"Miss"
"105";0;"FARTHING, Mr John ";"male";57;1;"Southampton";"17483";221.779166666667;0;0;NA;"Servant";"/titanic-victim/john-farthing.html";1863-06-30;1912-04-15;4;55.4447916666667;1;"Mr"
"106";1;"FLEGENHEIM, Mrs Antoinette ";"female";48;1;"Cherbourg";"17598";31.6833333333333;0;0;"7";NA;"/titanic-survivor/antoinette-flegenheim.html";1863-05-11;NA;1;31.6833333333333;1;"Mrs"
"107";1;"FLEMING, Miss Margaret ";"female";42;1;"Cherbourg";"17421";110.883333333333;0;0;"4";"Servant";"/titanic-survivor/margaret-fleming.html";1870-01-31;1941-08-24;4;27.7208333333333;1;"Miss"
"108";1;"FLYNN, Mr John Irwin ";"male";36;1;"Southampton";"PC 14474";26.2875;0;0;"5";NA;"/titanic-survivor/john-irwin-flynn.html";1875-06-26;NA;1;26.2875;1;"Mr"
"109";0;"FOREMAN, Mr Benjamin Laventall ";"male";30;1;"Southampton";"113051";27.75;0;0;NA;NA;"/titanic-victim/benjamin-foreman.html";1881-11-15;1912-04-15;1;27.75;1;"Mr"
"110";1;"FORTUNE, Miss Alice Elizabeth ";"female";24;1;"Southampton";"19950";263;3;2;"10";NA;"/titanic-survivor/alice-elizabeth-fortune.html";1887-05-10;1961-04-07;6;43.8333333333333;6;"Miss"
"111";1;"FORTUNE, Miss Ethel Flora ";"female";28;1;"Southampton";"19950";263;3;2;"10";NA;"/titanic-survivor/ethel-flora-fortune.html";1883-09-22;1961-03-21;6;43.8333333333333;6;"Miss"
"112";1;"FORTUNE, Miss Mabel Helen ";"female";23;1;"Southampton";"19950";263;3;2;"10";NA;"/titanic-survivor/mabel-helen-fortune.html";1888-11-03;1968-02-19;6;43.8333333333333;6;"Miss"
"113";0;"FORTUNE, Mr Charles Alexander ";"male";19;1;"Southampton";"19950";263;3;2;NA;NA;"/titanic-victim/charles-alexander-fortune.html";1892-10-13;1912-04-15;6;43.8333333333333;6;"Mr"
"114";0;"FORTUNE, Mr Mark ";"male";64;1;"Southampton";"19950";263;1;4;NA;NA;"/titanic-victim/mark-fortune.html";1847-11-02;1912-04-15;6;43.8333333333333;6;"Mr"
"115";1;"FORTUNE, Mrs Mary ";"female";60;1;"Southampton";"19950";263;1;4;"10";NA;"/titanic-survivor/mary-fortune.html";1851-05-06;1929-03-08;6;43.8333333333333;6;"Mrs"
"116";1;"FRANCATELLI, Miss Laura Mabel ";"female";31;1;"Cherbourg";"17485";56.9291666666667;0;0;"1";"Servant";"/titanic-survivor/laura-mabel-francatelli.html";1880-06-30;1967-06-02;2;28.4645833333333;1;"Miss"
"117";0;"FRANKLIN, Mr Thomas Parnham ";"male";37;1;"Southampton";"113778";26.55;0;0;NA;NA;"/titanic-victim/thomas-parnham-franklin.html";1874-05-09;1912-04-15;1;26.55;1;"Mr"
"118";1;"FRAUENTHAL, Dr Henry William ";"male";49;1;"Southampton";"17611";133.65;2;0;"5";NA;"/titanic-survivor/henry-william-frauenthal.html";1863-03-13;1927-03-11;2;66.825;3;"Dr"
"119";1;"FRAUENTHAL, Mr Isaac Gerald ";"male";43;1;"Cherbourg";"17765";27.7208333333333;1;0;"5";NA;"/titanic-survivor/isaac-gerald-frauenthal.html";1868-10-07;1932-11-16;1;27.7208333333333;2;"Mr"
"120";1;"FRAUENTHAL, Mrs Clara ";"female";42;1;"Southampton";"17611";133.65;1;0;"5";NA;"/titanic-survivor/clara-frauenthal.html";1869-12-01;1943-03-30;2;66.825;2;"Mrs"
"121";1;"FRöLICHER, Miss Hedwig Margaritha ";"female";22;1;"Cherbourg";"13568";49.5;0;2;"5";NA;"/titanic-survivor/hedwig-margaritha-frolicher.html";1889-08-13;1972-07-16;1;49.5;3;"Miss"
"122";1;"FRöLICHER-STEHLI, Mr Maximilian Josef ";"male";60;1;"Cherbourg";"13567";79.2;1;1;"5";NA;"/titanic-survivor/maximilian-frolicher-stehli.html";1851-09-24;1913-11-22;2;39.6;3;"Mr"
"123";1;"FRöLICHER-STEHLI, Mrs Margaretha Emerentia ";"female";48;1;"Cherbourg";"13567";79.2;1;1;"5";NA;"/titanic-survivor/margaretha-frolicher-stehli.html";1864-02-15;1955-03-21;2;39.6;3;"Mrs"
"124";0;"FUTRELLE, Mr Jacques Heath ";"male";37;1;"Southampton";"113803";53.1;1;0;NA;NA;"/titanic-victim/jacques-futrelle.html";1875-04-09;1912-04-15;2;26.55;2;"Mr"
"125";0;"GEE, Mr Arthur H. ";"male";47;1;"Southampton";"111320";38.5;0;0;" [275]";NA;"/titanic-victim/arthur-gee.html";1865-03-21;1912-04-15;1;38.5;1;"Mr"
"126";1;"GIBSON, Miss Dorothy Winifred ";"female";22;1;"Cherbourg";"112378";59.4;0;1;"7";NA;"/titanic-survivor/dorothy-gibson.html";1889-05-17;1946-02-17;2;29.7;2;"Miss"
