name,sex,age,survived,class,joined,ticket,price,sibsp,parch,job,occupation,dob,date_death,boat..body.,url,ticketFreq,pricepp,fsize,title
"BOWEN, Miss Grace Scott ",female,45,1,1,Cherbourg,17608,262.4,0,0,Servant,Governess  ,1867-03-09,1945-05-03,4,/titanic-survivor/grace-scott-bowen.html,7,37.5,1,Miss
"BOWERMAN, Miss Elsie Edith ",female,22,1,1,Southampton,113505,55,0,1,NA,NA,1889-12-18,1973-10-18,6,/titanic-survivor/elsie-edith-bowerman.html,2,27.5,2,Miss
"BRADY, Mr John Bertram ",male,41,0,1,Southampton,113054,30.5,0,0,NA,NA,1870-12-03,1912-04-15,NA,/titanic-victim/john-bertram-brady.html,1,30.5,1,Mr
"BRANDEIS, Mr Emil ",male,48,0,1,Cherbourg,17591,50.5,0,0,NA,NA,1864-03-15,1912-04-15, [208],/titanic-victim/emil-brandeis.html,1,50.5,1,Mr
"BRERETON, Mr George Andrew ",male,37,1,1,Southampton,111427,26.6,0,0,NA,NA,1874-11-12,1942-07-16,9,/titanic-survivor/george-brereton.html,1,26.6,1,Mr
"BREWE, Dr Arthur Jackson ",male,45,0,1,Cherbourg,112379,39.6,0,0,NA,NA,1866-06-30,1912-04-15,NA,/titanic-victim/arthur-jackson-brewe.html,1,39.6,1,Dr
"BROWN, Mrs Caroline Lane ",female,59,1,1,Southampton,11769,51.5,2,0,NA,NA,1852-07-08,1928-06-26,D ,/titanic-survivor/caroline-lane-brown.html,2,25.8,3,Mrs
"BROWN, Mrs Margaret ",female,44,1,1,Cherbourg,17610,27.7,0,0,NA,NA,1867-07-18,1932-10-26,6,/titanic-survivor/molly-brown.html,1,27.7,1,Mrs
"BUCKNELL, Mrs Emma Eliza ",female,58,1,1,Cherbourg,11813,76.3,0,0,NA,NA,1853-07-29,1927-06-27,8,/titanic-survivor/emma-bucknell.html,2,38.1,1,Mrs
"BURNS, Miss Elizabeth Margaret ",female,41,1,1,Cherbourg,16966,134.5,0,0,Servant,Nursemaid  ,1870-12-15,1921-05-29,3,/titanic-survivor/elizabeth-burns.html,5,26.9,1,Miss
"BUTT, Major Archibald Willingham ",male,46,0,1,Southampton,113050,26.6,0,0,NA,Military  ,1865-09-26,1912-04-15,NA,/titanic-victim/archibald-butt.html,1,26.6,1,Major
"CAIRNS, Mr Alexander Milne ",male,28,0,1,Southampton,113798,31,0,0,Servant,Servant  ,1883-04-19,1912-04-15,NA,/titanic-victim/alexander-cairns.html,2,15.5,1,Mr
"CALDERHEAD, Mr Edward Pennington ",male,42,1,1,Southampton,17476,26.3,0,0,NA,NA,1869-06-04,1961-04-05,5,/titanic-survivor/edward-pennington-calderhead.html,1,26.3,1,Mr
"CANDEE, Mrs Helen Churchill ",female,52,1,1,Cherbourg,17606,27.4,0,0,NA,NA,1859-10-05,1949-08-23,6,/titanic-survivor/helen-churchill-candee.html,1,27.4,1,Mrs
"CARDEZA, Mr Thomas Drake Martinez ",male,36,1,1,Cherbourg,17755,512.3,0,1,NA,Gentleman  ,1875-05-10,1952-06-06,3,/titanic-survivor/thomas-cardeza.html,4,128.1,2,Mr
"CARDEZA, Mrs Charlotte Wardle ",female,58,1,1,Cherbourg,17755,512.3,0,1,NA,NA,1854-04-10,1939-08-01,3,/titanic-survivor/charlotte-cardeza.html,4,128.1,2,Mrs
"CARLSSON, Mr Frans Olof ",male,33,0,1,Southampton,695,5,0,0,NA,NA,1878-09-29,1912-04-15,NA,/titanic-victim/frans-olof-carlsson.html,1,5,1,Mr
"CARRAU, Mr Francisco Mauro Severiano ",male,27,0,1,Southampton,113059,47.1,0,0,NA,NA,1884-11-08,1912-04-15,NA,/titanic-victim/francisco-carrau.html,2,23.6,1,Mr
"CARRAú-ESTEVES, Mr José Pedro ",male,17,0,1,Southampton,113059,47.1,0,0,NA,NA,1894-08-30,1912-04-15,NA,/titanic-victim/jose-pedro-carrau.html,2,23.6,1,Mr
"CARTER, Master William Thornton II ",male,11,1,1,Southampton,113760,120,1,2,NA,NA,1900-09-14,1985-01-28,4,/titanic-survivor/william-thornton-carter.html,4,30,4,Master
"CARTER, Miss Lucile Polk ",female,13,1,1,Southampton,113760,120,1,2,NA,NA,1898-10-20,1962-10-19,4,/titanic-survivor/lucile-polk-carter.html,4,30,4,Miss
"CARTER, Mr William Ernest ",male,36,1,1,Southampton,113760,120,1,2,NA,NA,1875-06-19,1940-03-20,C ,/titanic-survivor/william-carter.html,4,30,4,Mr
"CARTER, Mrs Lucile ",female,36,1,1,Southampton,113760,120,1,2,NA,NA,1875-10-08,1934-10-26,4,/titanic-survivor/lucile-carter.html,4,30,4,Mrs
"CASE, Mr Howard Brown ",male,49,0,1,Southampton,19924,26,0,0,NA,NA,1863-06-30,1912-04-15,NA,/titanic-victim/howard-case.html,1,26,1,Mr
"CASSEBEER, Mrs Eleanor Genevieve ",female,36,1,1,Cherbourg,17770,27.7,0,0,NA,NA,1875-11-29,NA,5,/titanic-survivor/eleanor-cassebeer.html,1,27.7,1,Mrs
"CAVENDISH, Mr Tyrell William ",male,36,0,1,Southampton,19877,78.8,1,0,NA,NA,1875-10-12,1912-04-15, [172],/titanic-victim/tyrell-william-cavendish.html,3,26.3,2,Mr
"CAVENDISH, Mrs Julia Florence ",female,25,1,1,Southampton,19877,78.8,1,0,NA,NA,1886-11-03,1963-01-16,6,/titanic-survivor/julia-florence-cavendish.html,3,26.3,2,Mrs
"CHAFFEE, Mr Herbert Fuller ",male,46,0,1,Southampton,5734,61.2,1,0,NA,NA,1865-11-20,1912-04-15,NA,/titanic-victim/herbert-fuller-chaffee.html,2,30.6,2,Mr
"CHAFFEE, Mrs Carrie Constance ",female,47,1,1,Southampton,5734,61.2,1,0,NA,NA,1864-08-28,1931-07-04,4,/titanic-survivor/carrie-constance-chaffee.html,2,30.6,2,Mrs
"CHAMBERS, Mr Norman Campbell ",male,27,1,1,Southampton,113806,53.1,1,0,NA,NA,1884-04-27,1966-02-09,5,/titanic-survivor/norman-campbell-chambers.html,2,26.6,2,Mr
"CHAMBERS, Mrs Bertha ",female,32,1,1,Southampton,113806,53.1,1,0,NA,NA,1879-10-10,1959-10-18,5,/titanic-survivor/bertha-chambers.html,2,26.6,2,Mrs
"CHAUDANSON, Miss Victorine ",female,36,1,1,Cherbourg,17608,262.4,0,0,Servant,Personal Maid  ,1875-09-28,1962-08-13,4,/titanic-survivor/victorine-chaudanson.html,7,37.5,1,Miss
"CHERRY, Miss Gladys ",female,30,1,1,Southampton,110152,86.5,0,0,NA,Of Independent Means  ,1881-08-27,1965-05-04,8,/titanic-survivor/gladys-cherry.html,3,28.8,1,Miss
"CHEVRé, Mr Paul Romaine Marie Léonce ",male,45,1,1,Cherbourg,17594,29.7,0,0,NA,Sculptor  ,1866-07-05,1914-02-20,7,/titanic-survivor/paul-chevre.html,1,29.7,1,Mr
"CHIBNALL, Mrs Edith Martha Bowerman ",female,48,1,1,Southampton,113505,55,0,1,NA,Of Independent Means  ,1864-02-27,1953-10-08,6,/titanic-survivor/edith-martha-chibnall.html,2,27.5,2,Mrs
"CLARK, Mr Walter Miller ",male,27,0,1,Cherbourg,13508,136.8,1,0,NA,NA,1884-05-13,1912-04-15,NA,/titanic-victim/walter-miller-clark.html,2,68.4,2,Mr
"CLARK, Mrs Virginia Estelle ",female,26,1,1,Cherbourg,13508,136.8,1,0,NA,NA,1885-05-30,1958-12-21,4,/titanic-survivor/virginia-clark.html,2,68.4,2,Mrs
"CLEAVER, Miss Alice Catherine ",female,22,1,1,Southampton,113781,151.8,0,0,Servant,Nursemaid  ,1889-07-05,1984-11-01,11,/titanic-survivor/alice-cleaver.html,6,25.3,1,Miss
"CLIFFORD, Mr George Quincy ",male,40,0,1,Southampton,110465,52,0,0,NA,NA,1871-11-20,1912-04-15,NA,/titanic-victim/george-quincy-clifford.html,2,26,1,Mr
"COLLEY, Mr Edward Pomeroy ",male,37,0,1,Southampton,5727,25.6,0,0,NA,NA,1875-04-15,1912-04-15,NA,/titanic-victim/edward-pomeroy-colley.html,1,25.6,1,Mr
"COMPTON, Miss Sara Rebecca ",female,39,1,1,Cherbourg,17756,83.2,1,1,NA,NA,1872-04-30,1952-06-16,14,/titanic-survivor/sara-rebecca-compton.html,3,27.7,3,Miss
"COMPTON, Mr Alexander Taylor jr ",male,37,0,1,Cherbourg,17756,83.2,1,1,NA,NA,1874-08-16,1912-04-15,NA,/titanic-victim/alexander-taylor-compton.html,3,27.7,3,Mr
"COMPTON, Mrs Mary Eliza ",female,64,1,1,Cherbourg,17756,83.2,0,2,NA,NA,1847-08-07,1930-12-04,14,/titanic-survivor/mary-eliza-compton.html,3,27.7,3,Mrs
"CORNELL, Mrs Malvina Helen ",female,55,1,1,Southampton,11770,25.7,2,0,NA,NA,1856-12-10,1941-07-12,2,/titanic-survivor/malvina-helen-cornell.html,1,25.7,3,Mrs
"CRAFTON, Mr John Bertram ",male,59,0,1,Southampton,113791,26.6,0,0,NA,Businessman  ,1853-02-15,1912-04-15,NA,/titanic-victim/john-bertram-crafton.html,1,26.6,1,Mr
"CROSBY, Captain Edward Gifford ",male,70,0,1,Southampton,5735,71,1,1,NA,NA,1842-02-18,1912-04-15, [269],/titanic-victim/edward-gifford-crosby.html,2,35.5,3,Captain
"CROSBY, Miss Harriette Rebecca ",female,39,1,1,Southampton,112901,26.6,0,2,NA,NA,1872-10-08,1941-02-11,7,/titanic-survivor/harriette-rebecca-crosby.html,1,26.6,3,Miss
"CROSBY, Mrs Catherine Elizabeth ",female,64,1,1,Southampton,5735,71,1,1,NA,NA,1847-10-26,1920-07-29,7,/titanic-survivor/catherine-elizabeth-crosby.html,2,35.5,3,Mrs
"CUMINGS, Mr John Bradley ",male,39,0,1,Cherbourg,17599,71.3,1,0,NA,NA,1872-09-26,1912-04-15,NA,/titanic-victim/john-bradley-cumings.html,2,35.6,2,Mr
"CUMINGS, Mrs Florence Briggs ",female,35,1,1,Cherbourg,17599,71.3,1,0,NA,NA,1876-12-31,1949-09-02,4,/titanic-survivor/florence-briggs-cumings.html,2,35.6,2,Mrs
"DALY, Mr Peter Dennis ",male,51,1,1,Southampton,113055,26.6,0,0,NA,Businessman  ,1860-07-17,1932-12-24,NA,/titanic-survivor/peter-dennis-daly.html,1,26.6,1,Mr
"DANIEL, Mr Robert Williams ",male,27,1,1,Southampton,113804,30.5,0,0,NA,NA,1884-09-11,1940-12-20,3,/titanic-survivor/robert-williams-daniel.html,1,30.5,1,Mr
"DANIELS, Miss Sarah Rebecca ",female,33,1,1,Southampton,113781,151.8,0,0,Servant,Personal Maid  ,1875-11-10,NA,8,/titanic-survivor/sarah-daniels.html,6,25.3,1,Miss
"DAVIDSON, Mr Thornton ",male,31,0,1,Cherbourg,12750,52,1,0,NA,NA,1880-05-17,1912-04-15,NA,/titanic-victim/thornton-davidson.html,2,26,2,Mr
"DAVIDSON, Mrs Orian ",female,27,1,1,Cherbourg,12750,52,1,2,NA,NA,1884-11-18,1979-05-03,3,/titanic-survivor/orian-davidson.html,2,26,4,Mrs
"DICK, Mr Albert Adrian ",male,31,1,1,Southampton,17474,57,1,0,NA,NA,1880-07-29,1970-06-02,3,/titanic-survivor/albert-adrian-dick.html,2,28.5,2,Mr
"DICK, Mrs Vera ",female,17,1,1,Southampton,17474,57,1,0,NA,NA,1894-06-12,1973-10-07,3,/titanic-survivor/vera-dick.html,2,28.5,2,Mrs
"DODGE, Dr Washington ",male,52,1,1,Southampton,33638,81.9,1,1,NA,Politician  ,1859-06-03,1919-06-30,13,/titanic-survivor/washington-dodge.html,3,27.3,3,Dr
"DODGE, Master Washington ",male,4,1,1,Southampton,33638,81.9,0,2,NA,NA,1907-09-23,1974-12-03,5,/titanic-survivor/washington-dodge-jr.html,3,27.3,3,Master
"DODGE, Mrs Ruth ",female,34,1,1,Southampton,33638,81.9,1,1,NA,NA,1878-03-27,1950-07-19,5,/titanic-survivor/ruth-dodge.html,3,27.3,3,Mrs
"DOUGLAS, Mr Walter Donald ",male,50,0,1,Cherbourg,17761,106.4,1,0,NA,NA,1861-04-21,1912-04-15, [62],/titanic-victim/walter-donald-douglas.html,3,35.5,2,Mr
"DOUGLAS, Mrs Mahala ",female,48,1,1,Cherbourg,17761,106.4,1,0,NA,NA,1864-01-26,1945-04-21,2,/titanic-survivor/mahala-douglas.html,3,35.5,2,Mrs
"DOUGLAS, Mrs Mary Hélène ",female,27,1,1,Cherbourg,17558,247.5,1,1,NA,NA,1885-04-04,1954-12-31,6,/titanic-survivor/mary-helene-douglas.html,3,82.5,3,Mrs
"DUFF GORDON, Lady Lucy Christiana ",female,48,1,1,Cherbourg,17485,56.9,1,0,NA,Dressmaker / Couturière  ,1863-06-13,1935-04-20,1,/titanic-survivor/lady-duff-gordon.html,2,28.4,2,Lady
"DUFF GORDON, Sir Cosmo Edmund ",male,49,1,1,Cherbourg,11755,39.6,1,0,NA,Landowner  ,1862-07-22,1931-04-20,1,/titanic-survivor/sir-cosmo-duff-gordon.html,1,39.6,2,Sir
"DULLES, Mr William Crothers ",male,39,0,1,Cherbourg,17580,29.7,0,0,NA,NA,1872-12-21,1912-04-15, [133],/titanic-victim/william-crothers-dulles.html,1,29.7,1,Mr
"EARNSHAW, Mrs Olive ",female,23,1,1,Cherbourg,11767,83.2,0,1,NA,Of Independent Means  ,1888-09-09,1958-04-21,7,/titanic-survivor/olive-earnshaw.html,3,27.7,2,Mrs
"ENDRES, Miss Caroline Louise ",female,39,1,1,Cherbourg,17757,247.5,0,0,Servant,Nurse  ,1872-06-14,1964-01-11,4,/titanic-survivor/caroline-endres.html,5,49.5,1,Miss
"EUSTIS, Miss Elizabeth Mussey ",female,54,1,1,Cherbourg,36947,78.3,1,0,NA,NA,1858-03-01,1936-05-17,4,/titanic-survivor/elizabeth-mussey-eustis.html,2,39.1,2,Miss
"EVANS, Miss Edith Corse ",female,36,0,1,Cherbourg,17531,31.7,0,0,NA,NA,1875-09-21,1912-04-15,NA,/titanic-victim/edith-corse-evans.html,1,31.7,1,Miss
"FARTHING, Mr John ",male,57,0,1,Southampton,17483,221.8,0,0,Servant,Servant  ,1863-06-30,1912-04-15,NA,/titanic-victim/john-farthing.html,4,55.5,1,Mr
"FLEGENHEIM, Mrs Antoinette ",female,48,1,1,Cherbourg,17598,31.7,0,0,NA,NA,1863-05-11,NA,7,/titanic-survivor/antoinette-flegenheim.html,1,31.7,1,Mrs
"FLEMING, Miss Margaret ",female,42,1,1,Cherbourg,17421,110.9,0,0,Servant,Personal Maid  ,1870-01-31,1941-08-24,4,/titanic-survivor/margaret-fleming.html,4,27.7,1,Miss
"FLYNN, Mr John Irwin ",male,36,1,1,Southampton,PC 14474,26.3,0,0,NA,NA,1875-06-26,NA,5,/titanic-survivor/john-irwin-flynn.html,1,26.3,1,Mr
"FOREMAN, Mr Benjamin Laventall ",male,30,0,1,Southampton,113051,27.8,0,0,NA,NA,1881-11-15,1912-04-15,NA,/titanic-victim/benjamin-foreman.html,1,27.8,1,Mr
"FORTUNE, Miss Alice Elizabeth ",female,24,1,1,Southampton,19950,263,3,2,NA,NA,1887-05-10,1961-04-07,10,/titanic-survivor/alice-elizabeth-fortune.html,6,43.8,6,Miss
"FORTUNE, Miss Ethel Flora ",female,28,1,1,Southampton,19950,263,3,2,NA,NA,1883-09-22,1961-03-21,10,/titanic-survivor/ethel-flora-fortune.html,6,43.8,6,Miss
"FORTUNE, Miss Mabel Helen ",female,23,1,1,Southampton,19950,263,3,2,NA,NA,1888-11-03,1968-02-19,10,/titanic-survivor/mabel-helen-fortune.html,6,43.8,6,Miss
"FORTUNE, Mr Charles Alexander ",male,19,0,1,Southampton,19950,263,3,2,NA,NA,1892-10-13,1912-04-15,NA,/titanic-victim/charles-alexander-fortune.html,6,43.8,6,Mr
"FORTUNE, Mr Mark ",male,64,0,1,Southampton,19950,263,1,4,NA,NA,1847-11-02,1912-04-15,NA,/titanic-victim/mark-fortune.html,6,43.8,6,Mr
"FORTUNE, Mrs Mary ",female,60,1,1,Southampton,19950,263,1,4,NA,NA,1851-05-06,1929-03-08,10,/titanic-survivor/mary-fortune.html,6,43.8,6,Mrs
"FRANCATELLI, Miss Laura Mabel ",female,31,1,1,Cherbourg,17485,56.9,0,0,Servant,Secretary  ,1880-06-30,1967-06-02,1,/titanic-survivor/laura-mabel-francatelli.html,2,28.4,1,Miss
"FRANKLIN, Mr Thomas Parnham ",male,37,0,1,Southampton,113778,26.6,0,0,NA,NA,1874-05-09,1912-04-15,NA,/titanic-victim/thomas-parnham-franklin.html,1,26.6,1,Mr
"FRAUENTHAL, Dr Henry William ",male,49,1,1,Southampton,17611,133.7,2,0,NA,Doctor  ,1863-03-13,1927-03-11,5,/titanic-survivor/henry-william-frauenthal.html,2,66.8,3,Dr
"FRAUENTHAL, Mr Isaac Gerald ",male,43,1,1,Cherbourg,17765,27.7,1,0,NA,NA,1868-10-07,1932-11-16,5,/titanic-survivor/isaac-gerald-frauenthal.html,1,27.7,2,Mr
"FRAUENTHAL, Mrs Clara ",female,42,1,1,Southampton,17611,133.7,1,0,NA,NA,1869-12-01,1943-03-30,5,/titanic-survivor/clara-frauenthal.html,2,66.8,2,Mrs
"FRöLICHER, Miss Hedwig Margaritha ",female,22,1,1,Cherbourg,13568,49.5,0,2,NA,NA,1889-08-13,1972-07-16,5,/titanic-survivor/hedwig-margaritha-frolicher.html,1,49.5,3,Miss
"FRöLICHER-STEHLI, Mr Maximilian Josef ",male,60,1,1,Cherbourg,13567,79.2,1,1,NA,NA,1851-09-24,1913-11-22,5,/titanic-survivor/maximilian-frolicher-stehli.html,2,39.6,3,Mr
"FRöLICHER-STEHLI, Mrs Margaretha Emerentia ",female,48,1,1,Cherbourg,13567,79.2,1,1,NA,NA,1864-02-15,1955-03-21,5,/titanic-survivor/margaretha-frolicher-stehli.html,2,39.6,3,Mrs
"FUTRELLE, Mr Jacques Heath ",male,37,0,1,Southampton,113803,53.1,1,0,NA,Writer  ,1875-04-09,1912-04-15,NA,/titanic-victim/jacques-futrelle.html,2,26.6,2,Mr
"GEE, Mr Arthur H. ",male,47,0,1,Southampton,111320,38.5,0,0,NA,NA,1865-03-21,1912-04-15, [275],/titanic-victim/arthur-gee.html,1,38.5,1,Mr
"GIBSON, Miss Dorothy Winifred ",female,22,1,1,Cherbourg,112378,59.4,0,1,NA,NA,1889-05-17,1946-02-17,7,/titanic-survivor/dorothy-gibson.html,2,29.7,2,Miss
"GIBSON, Mrs Pauline Caroline ",female,44,1,1,Cherbourg,112378,59.4,0,1,NA,NA,1867-06-30,NA,7,/titanic-survivor/pauline-gibson.html,2,29.7,2,Mrs
"GIEGER, Miss Amalie ",female,35,1,1,Southampton,113503,211.5,0,0,Servant,Personal Maid  ,NA,1933-11-14,4,/titanic-survivor/emily-gieger.html,5,42.3,1,Miss
"GIGLIO, Mr Victor Gaitan Andrea ",male,23,0,1,Cherbourg,17593,79.2,0,0,Servant,Servant  ,1888-06-17,1912-04-15,NA,/titanic-victim/victor-giglio.html,2,39.6,1,Mr
"GOLDENBERG, Mr Samuel L. ",male,47,1,1,Cherbourg,17453,89.1,1,0,NA,NA,1864-09-08,1936-10-11,5,/titanic-survivor/samuel-goldenberg.html,2,44.5,2,Mr
"GOLDENBERG, Mrs Nella ",female,40,1,1,Cherbourg,17453,89.1,1,0,NA,NA,NA,NA,5,/titanic-survivor/nella-goldenberg.html,2,44.5,2,Mrs
"GOLDSCHMIDT, Mr George B. ",male,71,0,1,Cherbourg,17754,34.7,0,0,NA,Lawyer  ,1840-10-16,1912-04-15,NA,/titanic-victim/george-goldschmidt.html,1,34.7,1,Mr
"GRACIE, Colonel Archibald ",male,53,1,1,Southampton,113780,28.5,0,0,NA,Writer  ,1859-01-17,1912-12-04,B ,/titanic-survivor/colonel-archibald-gracie.html,1,28.5,1,Colonel
"GRAHAM, Miss Margaret Edith ",female,19,1,1,Southampton,17582,153.5,0,0,NA,NA,1893-02-16,1976-04-26,3,/titanic-survivor/margaret-edith-graham.html,3,51.2,1,Miss
"GRAHAM, Mr George Edward ",male,38,0,1,Southampton,112053,30,0,1,NA,Sales Manager  ,1873-06-11,1912-04-15, [147],/titanic-victim/george-edward-graham.html,1,30,2,Mr
"GRAHAM, Mrs Edith ",female,59,1,1,Southampton,17582,153.5,0,1,NA,NA,1852-10-15,1924-12-29,3,/titanic-survivor/edith-graham.html,3,51.2,2,Mrs
"GREENFIELD, Mr William Bertram ",male,23,1,1,Cherbourg,17759,63.4,0,1,NA,NA,1888-05-11,1949-11-12,7,/titanic-survivor/william-bertram-greenfield.html,2,31.7,2,Mr
"GREENFIELD, Mrs Blanche ",female,45,1,1,Cherbourg,17759,63.4,0,1,NA,NA,1867-02-21,1936-11-05,7,/titanic-survivor/blanche-greenfield.html,2,31.7,2,Mrs
